RESPID;interview_end;gender;age;age_coded;DK_region;Agenda;b1 - Hvilket problem mener du er det vigtigste, som Danmark står overfor lige nu?;b2a - Hvilken regering er bedst til at sikre en fornuftig flygtninge/indvandrerpolitik?;b2b - Hvilken regering er bedst til at varetage økonomien, eksempelvis vækst og arbejdspladser?;b2c - Hvilken regering er bedst til at levere velfærden, eksempelvis sundhed, uddannelse og ældrepleje?;bg5 - Hvilket parti stemte du på, ved Folketingsvalget den 15. september 2011?;bg6 - Hvilket parti ville du stemme på, hvis der var Folketingsvalg i morgen?;bg7 - Hvilket parti hælder du mest til at stemme på?;bg8 - Hvad er din højest afsluttede uddannelse?;bg9 - Hvor mange børn under 18 år er der din husstand?;bg10 - Hvad er husstandens samlede årlige bruttoindkomst?;PI_idag_prob - Stemme i morgen (bg6+bg7);Weight;redprediction;blueprediction;swingprediction;latedecprediction
1795;20150314;Mand;72;70++ år;Sjælland;900;indvandring/flygtninge;Ved ikke;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(O) Dansk Folkeparti;(O) Dansk Folkeparti;;Grundskole;Ingen;900.000-999.999 kr.;Dansk Folkeparti;1,3455078479;0.176663209036834;0.604503292300421;0.211611120573724;0.610375447294083
1796;20150314;Mand;62;60-69 år;Hovedstaden;103;ledigheden;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Stemte blankt;Ved ikke;(A) Socialdemokraterne;Grundskole;Ingen;900.000-999.999 kr.;Socialdemokraterne;0,8069813989;0.268453805619671;0.488804160647556;0.211596786156626;0.600414556270787
1802;20150314;Kvinde;63;60-69 år;Syddanmark;1227;Terrorisme;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Kort videregående 1-2 år;Ingen;400.000-499.999 kr.;Socialdemokraterne;0,3307462974;0.456896938728511;0.329178734210148;0.211172438846464;0.211053327853818
1804;20150315;Kvinde;63;60-69 år;Hovedstaden;1227;terror;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(F) Socialistisk Folkeparti - SF;(F) Socialistisk Folkeparti - SF;;Kort videregående 1-2 år;Ingen;400.000-499.999 kr.;Socialistisk Folkeparti - SF;0,4405408619;0.456896938728511;0.329178734210148;0.211172438846464;0.338751675364808
1807;20150317;Mand;41;40-49 år;Hovedstaden;1806;manglende konkurrenceevne pga skattetrykket;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(C) Konservative Folkeparti;(V) Venstre;;Gymnasie, HF eller lignende;2 børn;600.000-699.999 kr.;Venstre;1,1747457620;0.494798474697855;0.312267811779576;0.211016692500733;0.498651297273104
1810;20150316;Mand;41;40-49 år;Hovedstaden;2099;Distanceringen mellem befolkning og politikere.;Ved ikke;Venstre ledet regering;Venstre ledet regering;(I) Liberal Alliance;Ved ikke;Ved ikke;Gymnasie, HF eller lignende;Ingen;600.000-699.999 kr.;;0,8246866758;0.494798474697855;0.312267811779576;0.211016692500733;0.465957609770929
1817;20150314;Mand;41;40-49 år;Midtjylland;2002;skats manglende evne til at besvare opkald.;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Erhvervsfaglig, EFG, HTX eller lignende;1 barn;800.000-899.999 kr.;Socialdemokraterne;0,8537017639;0.249647663634732;0.531415334858401;0.210773892482608;0.32564606507492
1820;20150316;Mand;41;40-49 år;Syddanmark;1227;Terror;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(O) Dansk Folkeparti;(O) Dansk Folkeparti;;Erhvervsfaglig, EFG, HTX eller lignende;2 børn;800.000-899.999 kr.;Dansk Folkeparti;0,7208336002;0.249647663634732;0.531415334858401;0.210773892482608;0.413303006527324
1833;20150314;Mand;65;60-69 år;Midtjylland;300;sundhedsvæsenet;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(V) Venstre;(V) Venstre;;Gymnasie, HF eller lignende;Ingen;400.000-499.999 kr.;Venstre;0,5964191648;0.47302600805274;0.326906703240117;0.210670582657528;0.397975059731533
1834;20150314;Mand;61;60-69 år;Midtjylland;1300;Velfærden er truet;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(F) Socialistisk Folkeparti - SF;(F) Socialistisk Folkeparti - SF;;Kort videregående 1-2 år;Ingen;700.000-799.999 kr.;Socialistisk Folkeparti - SF;0,3307462974;0.305159679055021;0.492482019112444;0.210562949256433;0.352533266173687
1835;20150314;Kvinde;69;60-69 år;Hovedstaden;900;integrationen;Venstre ledet regering;Ved ikke;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(O) Dansk Folkeparti;;Kort videregående 1-2 år;Ingen;400.000-499.999 kr.;Dansk Folkeparti;0,3307462974;0.383459512289644;0.390783883935733;0.210437300916842;0.339674103862721
1838;20150314;Kvinde;65;60-69 år;Hovedstaden;1201;politiets opgaver;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Kort videregående 1-2 år;Ingen;400.000-499.999 kr.;Socialdemokraterne;0,3307462974;0.43530606833447;0.34713863131052;0.210431590381322;0.225261777189888
1842;20150315;Mand;48;40-49 år;Hovedstaden;1399;børns vilkår i Danmark.;Ved ikke;Ved ikke;Ved ikke;(F) Socialistisk Folkeparti - SF;Ved ikke;(F) Socialistisk Folkeparti - SF;Mellemlang videregående 3-4 år;2 børn;100.000-199.999 kr.;Socialistisk Folkeparti - SF;0,8012407373;0.628808338585608;0.18569381873186;0.210375576023885;0.374777156322712
1844;20150314;Kvinde;66;60-69 år;Hovedstaden;900;flygninge;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(C) Konservative Folkeparti;(A) Socialdemokraterne;;Kort videregående 1-2 år;Ingen;400.000-499.999 kr.;Socialdemokraterne;0,3307462974;0.423379664887387;0.357065755544192;0.210247389770434;0.455688856001739
1865;20150314;Kvinde;48;40-49 år;Syddanmark;900;For mange flygtninge, de skal hjælpes i deres eget land dem der kan det.;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(O) Dansk Folkeparti;(O) Dansk Folkeparti;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;Vil ikke oplyse;Dansk Folkeparti;0,8711385120;0.401397573389073;0.374193476301405;0.210235500794355;0.380462249918205
1887;20150314;Mand;42;40-49 år;Sjælland;103;Arbejdsløshed;Venstre ledet regering;Venstre ledet regering;Socialdemokratisk ledet regering;(I) Liberal Alliance;(I) Liberal Alliance;;Kort videregående 1-2 år;2 børn;500.000-599.999 kr.;Liberal Alliance (tidligere Ny Alliance);0,5692128078;0.349869361423927;0.437137860327133;0.210185229623793;0.319311156724704
1890;20150314;Mand;53;50-59 år;Nordjylland;2099;manglende demokrati! - En lov gælder de folkevalgte en gælder resten;Ved ikke;Ved ikke;Ved ikke;(Ø) Enhedslisten;Stemme blankt;Alternativet;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;Ved ikke;Alternativet;1,1361708100;0.305066245088041;0.477221857485757;0.210069864485827;0.175352351718602
1891;20150314;Mand;77;70++ år;Nordjylland;900;For mange flygtning , og en sejlende politik !;Venstre ledet regering;Ved ikke;Socialdemokratisk ledet regering;(V) Venstre;(V) Venstre;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;300.000-399.999 kr.;Venstre;1,3192173563;0.183457246238782;0.622649595924256;0.209083733247231;0.445863333072545
1893;20150314;Mand;57;50-59 år;Midtjylland;1300;Det offentlige bruger for mange penge;Venstre ledet regering;Venstre ledet regering;Socialdemokratisk ledet regering;(V) Venstre;(V) Venstre;;Erhvervsfaglig, EFG, HTX eller lignende;2 børn;300.000-399.999 kr.;Venstre;1,2683283133;0.396559759671504;0.392384205110772;0.209055316729328;0.334071209696982
1894;20150314;Mand;45;40-49 år;Sjælland;107;Skatten;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Kort videregående 1-2 år;Ingen;600.000-699.999 kr.;Socialdemokraterne;0,4099304320;0.377971688076756;0.412589717295488;0.208942676116486;0.214584724456904
1899;20150314;Kvinde;32;30-39 år;Midtjylland;1399;for lidt hænder der passer på vores små børn;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(V) Venstre;(V) Venstre;;Kort videregående 1-2 år;2 børn;Ved ikke;Venstre;0,7925942298;0.301901221702561;0.460316204445676;0.208257591138004;0.339327960667864
1900;20150315;Mand;43;40-49 år;Nordjylland;1300;at holde samme service niveau i det offentlige;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Erhvervsfaglig, EFG, HTX eller lignende;3 børn;900.000-999.999 kr.;Socialdemokraterne;0,8794813639;0.263450684788242;0.515562450188898;0.208194570630613;0.46487329360753
1901;20150314;Kvinde;37;30-39 år;Sjælland;2400;Egoisme;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Mellemlang videregående 3-4 år;2 børn;700.000-799.999 kr.;Socialdemokraterne;0,9522724989;0.530427420397977;0.255632320084935;0.20812225786074;0.304301398609048
1902;20150314;Mand;76;70++ år;Syddanmark;.;Det ved jeg ikke;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(C) Konservative Folkeparti;(V) Venstre;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;300.000-399.999 kr.;Venstre;1,1694949040;0.196570106633255;0.606458615252521;0.207914246019365;0.322801821508481
1904;20150314;Mand;42;40-49 år;Syddanmark;1300;Strukturen i det offentlige forbrug;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(C) Konservative Folkeparti;(I) Liberal Alliance;;Erhvervsfaglig, EFG, HTX eller lignende;2 børn;800.000-899.999 kr.;Liberal Alliance (tidligere Ny Alliance);1,0826130868;0.255510639480214;0.528754702060555;0.207632221949957;0.380066345666278
1911;20150314;Kvinde;39;30-39 år;Sjælland;500;De alt for høje overførselsindkomster;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(V) Venstre;(V) Venstre;;Erhvervsfaglig, EFG, HTX eller lignende;2 børn;800.000-899.999 kr.;Venstre;2,5794274380;0.322315125246572;0.44499587112963;0.207431559197592;0.242582230626688
1912;20150316;Mand;30;30-39 år;Midtjylland;1300;At sikre at velfærdssamfundet hænger økonomisk sammen. At det kan betale sig at yde til fællesskabet i stedet for at lukrere på ydelser, samt at der opsættes barrierer for at sikre, at rettigheder såsom sundhedsvæsen ikke misbruges.;Ved ikke;Venstre ledet regering;Ved ikke;(V) Venstre;(V) Venstre;;Lang videregående 5 år;Ingen;400.000-499.999 kr.;Venstre;0,7887626018;0.43920812364146;0.296679305277013;0.20741205240632;0.171816391926036
1919;20150315;Mand;55;50-59 år;Syddanmark;900;Indvandring;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(O) Dansk Folkeparti;(O) Dansk Folkeparti;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;Vil ikke oplyse;Dansk Folkeparti;0,7633836145;0.300644131802304;0.485983545882971;0.206876215697905;0.309744985084483
1922;20150315;Kvinde;56;50-59 år;Nordjylland;900;flygtninge/indvandrere;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(I) Liberal Alliance;(O) Dansk Folkeparti;;Kort videregående 1-2 år;Ingen;700.000-799.999 kr.;Dansk Folkeparti;0,3997410041;0.433813734840355;0.367374005039051;0.205814805930958;0.380285052406507
1924;20150314;Kvinde;56;50-59 år;Hovedstaden;900;Håndteringen af utilpassede unge med anden etnisk baggrund;Ved ikke;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Kort videregående 1-2 år;Ingen;700.000-799.999 kr.;Socialdemokraterne;0,5070893448;0.433813734840355;0.367374005039051;0.205814805930958;0.460516928952607
1928;20150314;Mand;56;50-59 år;Hovedstaden;100;Økonomisk vækst;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(F) Socialistisk Folkeparti - SF;(V) Venstre;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;Vil ikke oplyse;Venstre;1,5324452240;0.297404429784684;0.491214537473108;0.205475296181798;0.434535572326283
1929;20150316;Mand;73;70++ år;Midtjylland;103;Jobmangel;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;300.000-399.999 kr.;Socialdemokraterne;0,9128052189;0.236471135312127;0.559940786527399;0.205162793624199;0.668750172030876
1936;20150315;Mand;61;60-69 år;Nordjylland;107;Mangel på beskatning af rige danskere;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(O) Dansk Folkeparti;(A) Socialdemokraterne;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;300.000-399.999 kr.;Socialdemokraterne;0,5394942280;0.370946522665238;0.420201845882935;0.205145980181125;0.29758637052585
1938;20150314;Mand;28;18-29 år;Nordjylland;100;økonomiske;Socialdemokratisk ledet regering;Ved ikke;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Lang videregående 5 år;Ingen;700.000-799.999 kr.;Socialdemokraterne;0,6825629012;0.335315809124982;0.39959319918273;0.204970779115266;0.633763366537902
1940;20150314;Kvinde;74;70++ år;Syddanmark;1227;terror;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(O) Dansk Folkeparti;(O) Dansk Folkeparti;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;200.000-299.999 kr.;Dansk Folkeparti;0,9314495401;0.438009229312815;0.327121034985386;0.204714718296489;0.297750422948087
1944;20150314;Kvinde;43;40-49 år;Midtjylland;1227;terror;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(V) Venstre;(V) Venstre;;Kort videregående 1-2 år;2 børn;600.000-699.999 kr.;Venstre;0,5559578206;0.471469189033633;0.32781725882822;0.204649931926652;0.502631055695414
1947;20150314;Mand;28;18-29 år;Hovedstaden;100;Overforbrug;Venstre ledet regering;Venstre ledet regering;Socialdemokratisk ledet regering;(B) Radikale Venstre;(O) Dansk Folkeparti;;Mellemlang videregående 3-4 år;Ingen;200.000-299.999 kr.;Dansk Folkeparti;0,8297443961;0.536249793153474;0.226969338634122;0.204508706644781;0.275179639586995
1952;20150315;Mand;72;70++ år;Hovedstaden;100;vækst;Venstre ledet regering;Venstre ledet regering;Socialdemokratisk ledet regering;(B) Radikale Venstre;(B) Radikale Venstre;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;300.000-399.999 kr.;Radikale Venstre;2,3022285456;0.249704743176954;0.545274530061529;0.204493967024051;0.483804202359203
1956;20150314;Mand;63;60-69 år;Hovedstaden;900;Flygtinge;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(F) Socialistisk Folkeparti - SF;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;300.000-399.999 kr.;Socialistisk Folkeparti - SF;0,9490043333;0.353826372601587;0.437647077611666;0.203936537791039;0.380557788133705
1960;20150316;Kvinde;73;70++ år;Syddanmark;506;arbejdsløsheden;Ved ikke;Venstre ledet regering;Venstre ledet regering;(V) Venstre;(V) Venstre;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;200.000-299.999 kr.;Venstre;1,4133530949;0.456612927237157;0.313712481270996;0.20392599777866;0.476775043182707
1967;20150314;Mand;64;60-69 år;Syddanmark;300;Dårligt fungerende sundhedssystem;Venstre ledet regering;Venstre ledet regering;Ved ikke;(V) Venstre;(V) Venstre;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;300.000-399.999 kr.;Venstre;0,6709455514;0.344275770071184;0.44726799200878;0.20351490576246;0.365236413344721
1971;20150315;Kvinde;58;50-59 år;Hovedstaden;103;arbejdsløshed;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(V) Venstre;(V) Venstre;;Kort videregående 1-2 år;Ingen;700.000-799.999 kr.;Venstre;0,7113819843;0.423801451623577;0.378750761080759;0.203392593193642;0.365585575940523
1972;20150314;Kvinde;58;50-59 år;Sjælland;900;flytning  terror;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(O) Dansk Folkeparti;(O) Dansk Folkeparti;;Kort videregående 1-2 år;Ingen;700.000-799.999 kr.;Dansk Folkeparti;0,4850613817;0.423801451623577;0.378750761080759;0.203392593193642;0.395899811704597
1975;20150314;Mand;69;60-69 år;Syddanmark;900;Flygtninge;Venstre ledet regering;Socialdemokratisk ledet regering;Venstre ledet regering;(A) Socialdemokraterne;Ved ikke;(A) Socialdemokraterne;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;300.000-399.999 kr.;Socialdemokraterne;0,4782659904;0.288165469686735;0.504291561333533;0.203220100168571;0.236370912562363
1977;20150314;Mand;69;60-69 år;Syddanmark;900;Flygtninge,ældrepleje,;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(Ø) Enhedslisten;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;300.000-399.999 kr.;Enhedslisten;0,4954385109;0.288165469686735;0.504291561333533;0.203220100168571;0.403522593273203
1997;20150314;Mand;65;60-69 år;Midtjylland;900;invandre;Venstre ledet regering;Venstre ledet regering;Ved ikke;(O) Dansk Folkeparti;(O) Dansk Folkeparti;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;300.000-399.999 kr.;Dansk Folkeparti;0,4841649018;0.334109791455021;0.457488997208814;0.203214535075723;0.346689013357859
1999;20150314;Mand;68;60-69 år;Midtjylland;1227;terror;Venstre ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(V) Venstre;(V) Venstre;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;300.000-399.999 kr.;Venstre;0,7346574263;0.30034340647402;0.491719172143881;0.20303780808528;0.342782115109264
2003;20150315;Mand;68;60-69 år;Hovedstaden;900;udlænge politiken;Venstre ledet regering;Venstre ledet regering;Socialdemokratisk ledet regering;(O) Dansk Folkeparti;(O) Dansk Folkeparti;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;300.000-399.999 kr.;Dansk Folkeparti;0,5849870669;0.30034340647402;0.491719172143881;0.20303780808528;0.410086971408824
2006;20150314;Mand;66;60-69 år;Hovedstaden;103;arbejdsløshed;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;300.000-399.999 kr.;Socialdemokraterne;0,6327321425;0.323368255327344;0.468308183078531;0.20303502738464;0.368048942821489
2011;20150314;Mand;66;60-69 år;Hovedstaden;.;Ved ikke;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;300.000-399.999 kr.;Socialdemokraterne;0,6327321425;0.323368255327344;0.468308183078531;0.20303502738464;0.294945502851134
2012;20150315;Mand;67;60-69 år;Syddanmark;900;Indvandring;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(V) Venstre;(V) Venstre;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;300.000-399.999 kr.;Venstre;0,6709455514;0.312096088367982;0.479720869862247;0.202976144447405;0.360082507626895
2014;20150316;Kvinde;71;70++ år;Nordjylland;2099;Hvornår vi får valg, så der bliver arbejdet, i stedet for at holde valgkamp.;Socialdemokratisk ledet regering;Ved ikke;Ved ikke;(V) Venstre;(V) Venstre;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;200.000-299.999 kr.;Venstre;1,5942958569;0.491642291872196;0.289212065648589;0.20271635852004;0.664456939214309
2042;20150314;Kvinde;71;70++ år;Sjælland;900;Indvandring;Venstre ledet regering;Ved ikke;Venstre ledet regering;(V) Venstre;(V) Venstre;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;200.000-299.999 kr.;Venstre;1,9345799576;0.491642291872196;0.289212065648589;0.20271635852004;0.543210149950604
2065;20150314;Kvinde;70;70++ år;Sjælland;900;indvandre poletik;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(O) Dansk Folkeparti;(O) Dansk Folkeparti;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;200.000-299.999 kr.;Dansk Folkeparti;1,2749550901;0.507963922415346;0.278076378237424;0.202293834978895;0.481039470312602
2068;20150316;Kvinde;70;70++ år;Midtjylland;100;Få opsvinget til at fortsætte, men passe på det ikke igen bliver overophedet;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;200.000-299.999 kr.;Socialdemokraterne;1,1031383640;0.507963922415346;0.278076378237424;0.202293834978895;0.325097879895195
2079;20150314;Kvinde;70;70++ år;Nordjylland;103;arbejdsløshed;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;200.000-299.999 kr.;Socialdemokraterne;1,1364505101;0.507963922415346;0.278076378237424;0.202293834978895;0.446618579515711
2083;20150314;Kvinde;64;60-69 år;Syddanmark;103;arbejdsløsheden;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(F) Socialistisk Folkeparti - SF;(Ø) Enhedslisten;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;200.000-299.999 kr.;Enhedslisten;0,5987442836;0.587548843742347;0.225227780635901;0.202285515770506;0.52944721077129
2086;20150314;Kvinde;65;60-69 år;Midtjylland;103;arbejdsløsheden;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(B) Radikale Venstre;(B) Radikale Venstre;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;200.000-299.999 kr.;Radikale Venstre;1,3211016577;0.576515123042151;0.232509139048418;0.201986499412767;0.354515905224562
2097;20150316;Kvinde;65;60-69 år;Syddanmark;900;Indvandring;Ved ikke;Ved ikke;Ved ikke;Husker ikke;Ved ikke;Ved ikke;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;200.000-299.999 kr.;;0,5692252336;0.576515123042151;0.232509139048418;0.201986499412767;0.664456939214309
2098;20150315;Kvinde;52;50-59 år;Nordjylland;501;dårlig arbejdsklima og banker der lukker virksomheder og deres bødler;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(V) Venstre;(V) Venstre;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;Vil ikke oplyse;Venstre;1,5790816550;0.404108231725072;0.382202345362226;0.201952421569022;0.540613167233688
2112;20150315;Kvinde;52;50-59 år;Syddanmark;.;n;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Husker ikke;Vil ikke svare;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;Vil ikke oplyse;;1,4713960553;0.404108231725072;0.382202345362226;0.201952421569022;0.301206387659637
2129;20150315;Mand;42;40-49 år;Sjælland;207;Islam indflydelse på samfundet;Venstre ledet regering;Ved ikke;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(O) Dansk Folkeparti;;Mellemlang videregående 3-4 år;2 børn;700.000-799.999 kr.;Dansk Folkeparti;0,5110061015;0.470272833346534;0.316498765335638;0.201289009271166;0.659161205380071
2131;20150316;Kvinde;24;18-29 år;Midtjylland;1227;Terror, Krig;Ved ikke;Ved ikke;Ved ikke;(V) Venstre;Ved ikke;(I) Liberal Alliance;Mellemlang videregående 3-4 år;Ingen;Ved ikke;Liberal Alliance (tidligere Ny Alliance);1,2464698908;0.31369353382206;0.414978157724453;0.201161727498941;0.354107195513922
2136;20150315;Kvinde;39;30-39 år;Sjælland;1404;ejendomsmarkedet, at man ikke kan godkendes som kreditværdig hvis man ønsker at bosætte sig på landet;Venstre ledet regering;Venstre ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;Ved ikke;(A) Socialdemokraterne;Mellemlang videregående 3-4 år;2 børn;700.000-799.999 kr.;Socialdemokraterne;0,9522724989;0.551623573128113;0.248623802661205;0.201092921021535;0.482788809410434
2138;20150315;Kvinde;25;18-29 år;Hovedstaden;700;miljø;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(Ø) Enhedslisten;(Ø) Enhedslisten;;Mellemlang videregående 3-4 år;Ingen;300.000-399.999 kr.;Enhedslisten;1,1235438039;0.441094281258522;0.306221323391442;0.200832061035233;0.607160072220739
2139;20150316;Mand;26;18-29 år;Midtjylland;201;Medmenneskelig integration;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(Ø) Enhedslisten;(Ø) Enhedslisten;;Mellemlang videregående 3-4 år;Ingen;Ved ikke;Enhedslisten;0,7694581599;0.261039090506685;0.483896869205624;0.200817859131794;0.448860018016609
2144;20150314;Kvinde;43;40-49 år;Syddanmark;2099;at der er gået valgkamp i den;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(V) Venstre;(V) Venstre;;Erhvervsfaglig, EFG, HTX eller lignende;1 barn;1.000.000 kr. eller derover;Venstre;1,3218393203;0.25838873805404;0.516163710330957;0.200641996262818;0.485341845135335
2145;20150315;Mand;73;70++ år;Sjælland;103;Arbejdsløshed;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;Vil ikke oplyse;Socialdemokraterne;1,1410797194;0.163724701107815;0.660667652911481;0.200377414162604;0.523431129773291
2147;20150316;Kvinde;53;50-59 år;Hovedstaden;1227;terro;Ved ikke;Ved ikke;Ved ikke;(V) Venstre;(O) Dansk Folkeparti;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;Vil ikke oplyse;Dansk Folkeparti;1,2205211087;0.402787199185926;0.385551417617423;0.200218252076146;0.671039524258955
2148;20150314;Kvinde;53;50-59 år;Midtjylland;100;økonomien;Socialdemokratisk ledet regering;Ved ikke;Socialdemokratisk ledet regering;(Ø) Enhedslisten;Stemme blankt;Ved ikke;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;Vil ikke oplyse;;0,9283490033;0.402787199185926;0.385551417617423;0.200218252076146;0.472379959995986
2152;20150314;Kvinde;53;50-59 år;Syddanmark;900;indvandrer fra Syrien;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(O) Dansk Folkeparti;(O) Dansk Folkeparti;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;Vil ikke oplyse;Dansk Folkeparti;0,9225612670;0.402787199185926;0.385551417617423;0.200218252076146;0.173278967879304
2164;20150316;Kvinde;27;18-29 år;Midtjylland;300;Fejlagtig bygning af nye sygehuse;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(V) Venstre;(V) Venstre;;Lang videregående 5 år;Ingen;700.000-799.999 kr.;Venstre;1,1232908671;0.417659599874172;0.323061458097724;0.199964425346099;0.677138337231278
